Security;MSFT US Equity;ORCL US Equity;AAPL US Equity;CRM US Equity;V US Equity;PYPL US Equity;MA US Equity;INTC US Equity;CSCO US Equity;NVDA US Equity;ADBE US Equity
Field;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST
Date;;;;;;;;;;;
2016-12-30;58.7175;36.4575;110.377;68.46;76.3576;39.47;101.236;33.4051;27.3373;105.5543;102.95
2017-01-03;59.1333;36.6955;110.691;70.54;77.806;40.25;103.334;33.7091;27.6268;100.8768;103.48
2017-01-04;58.8687;36.8763;110.567;72.8;78.4422;41.0;104.314;33.5341;27.4625;103.2304;104.14
2017-01-05;58.8687;36.7811;111.13;72.79;79.3622;41.06;105.12;33.4788;27.5264;100.6098;105.91
2017-01-06;59.379;36.6003;112.368;73.8;80.4583;41.45;105.877;33.5985;27.5811;101.9547;108.3
2017-01-09;59.19;37.1524;113.398;73.96;80.0081;41.4;105.67;33.7183;27.5355;106.0883;108.57
2017-01-10;59.1711;36.8002;113.512;73.98;79.5775;41.08;105.444;33.6538;27.718;105.2873;108.26
2017-01-11;59.7097;37.2285;114.122;75.77;80.057;41.28;105.926;34.0314;27.5081;103.9918;108.99
2017-01-12;59.1616;37.3142;113.645;75.21;79.6362;41.56;106.81;33.8104;27.4078;102.2909;108.59
2017-01-13;59.2467;37.3713;113.445;75.64;79.4404;41.6;106.8;33.8841;27.4352;102.281;108.53
2017-01-17;59.086;37.219;114.36;75.02;79.5285;41.27;106.506;33.893299999999996;27.3622;99.9868;108.0
2017-01-18;59.0577;37.3047;114.351;75.78;79.8515;41.35;106.761;33.8564;27.3987;101.8064;108.79
2017-01-19;58.8687;37.3237;114.151;75.57;79.9885;41.27;106.633;33.6814;27.353;103.9918;109.79
2017-01-20;59.2845;37.952;114.36;76.03;80.0962;41.69;108.038;34.0222;27.4625;102.8546;110.71
2017-01-23;59.4924;37.7711;114.436;76.16;80.3996;41.62;107.714;33.8656;27.6176;103.9226;110.97
2017-01-24;60.0215;38.1709;114.332;77.11;81.4566;41.96;107.999;34.6485;27.9187;106.1377;113.72
2017-01-25;60.1727;38.2185;116.152;78.47;82.1123;41.71;108.264;34.8143;28.01;106.5926;114.25
2017-01-26;60.730199999999996;38.1995;116.209;77.95;81.4663;41.5;107.468;34.5932;28.0464;108.4319;112.88
2017-01-27;62.157;38.2946;116.219;78.21;81.985;40.27;107.92;34.9801;28.2654;110.5284;113.99
2017-01-30;61.5428;38.2946;115.914;78.71;81.9165;39.86;107.39;34.4643;28.1286;108.7978;113.82
2017-01-31;61.0893;38.1804;115.647;79.1;80.9476;39.78;104.472;33.9117;28.0282;107.9672;113.38
2017-02-01;60.0782;37.9234;122.699;78.58;80.6834;39.31;103.165;33.6354;27.8275;112.6842;113.36
2017-02-02;59.6908;38.0567;122.489;80.13;80.5464;39.58;103.302;33.7827;28.4479;114.1082;113.16
2017-02-03;60.1727;38.485;123.013;80.21;84.2458;39.59;104.717;33.8755;28.5756;113.1094;115.17
2017-02-06;60.1349;38.1709;124.167;79.75;84.0012;39.74;104.727;33.6436;28.5574;116.0069;114.46
2017-02-07;59.9365;38.1423;125.348;80.21;83.9522;40.02;104.737;33.7178;28.6942;117.8066;114.96
2017-02-08;59.8514;38.0947;125.834;80.7;83.2769;40.88;104.855;33.7456;28.53;117.2924;116.13
2017-02-09;60.5318;38.2946;126.744;81.03;83.7565;40.83;105.425;32.8923;28.7399;115.0872;116.44
2017-02-10;60.4751;38.8277;126.457;80.64;84.0697;40.58;105.395;32.781;28.749;112.3578;116.85
2017-02-13;61.1554;39.1133;127.576;80.91;84.5982;41.17;106.388;33.2076;29.1687;107.1761;117.65
2017-02-14;61.3836;39.1228;129.232;80.92;84.9994;41.62;106.977;33.3282;29.4789;107.5716;117.58
2017-02-15;61.3456;39.4179;129.701;81.67;85.8378;41.87;107.744;33.4395;29.9442;107.7892;118.73
2017-02-16;61.3361;39.5892;129.543;80.82;85.7103;42.15;107.39;33.7735;30.6558;106.0586;118.93
2017-02-17;61.4311;40.0366;129.902;81.47;85.7593;41.96;107.508;33.8384;30.7836;106.0388;119.67
2017-02-21;61.3075;40.2365;130.84;82.18;86.2104;42.43;108.235;33.8755;31.1394;109.8362;119.63
2017-02-22;61.1839;40.465;131.233;82.08;86.0927;42.42;107.527;33.4581;31.1029;109.6679;119.47
2017-02-23;61.4311;40.893299999999996;130.677;82.07;86.4653;42.53;108.805;33.5601;31.0573;99.4991;118.83
2017-02-24;61.4311;41.0932;130.802;81.78;86.7105;43.07;109.06;33.8848;31.3128;100.4596;119.31
2017-02-27;61.0604;40.6458;131.06;81.54;86.2888;42.64;108.638;33.8662;31.258;103.3805;118.78
2017-02-28;60.8227;40.5411;131.118;81.35;86.23;42.0;108.53;33.5787;31.185;100.4794;118.34
2017-03-01;61.7353;40.855199999999996;133.798;83.81;87.2596;42.43;110.347;33.3282;31.4222;101.7764;120.35
2017-03-02;60.8512;40.8267;133.003;82.67;86.8085;42.77;109.384;33.3097;31.3766;98.0238;119.9
2017-03-03;61.0794;40.6363;133.788;82.22;87.0635;43.03;109.787;33.3004;31.2854;97.4594;120.04
2017-03-06;61.0984;40.5221;133.367;82.5;87.2106;42.87;109.414;32.9943;31.1941;96.7069;120.15
2017-03-07;61.222;40.5506;133.539;82.97;87.3282;42.89;109.021;33.2076;31.2033;97.7664;119.98
2017-03-08;61.7829;40.5602;133.042;83.48;87.2302;42.79;109.04;33.0407;31.039;97.5881;119.6
2017-03-09;61.5357;40.3983;132.735;83.28;87.3773;42.92;108.854;33.2262;31.0847;97.5683;119.91
2017-03-10;61.7258;40.6268;133.176;83.51;87.9852;42.99;109.266;33.3097;31.258;98.1426;121.09
2017-03-13;61.5167;40.5316;133.233;83.61;88.3578;42.59;109.581;32.614;31.112;100.8457;121.8
2017-03-14;61.2315;40.7315;133.032;83.51;87.8087;42.1;108.559;32.6325;31.1303;100.7764;121.44
2017-03-15;61.5547;40.979;134.439;83.48;88.1715;42.39;110.062;32.5583;31.2398;101.5388;122.11
2017-03-16;61.4501;43.5301;134.659;83.52;88.2892;42.4;110.701;32.5954;31.2306;102.7864;122.35
2017-03-17;61.6688;43.4634;133.989;83.03;88.4853;43.08;110.858;32.716;31.2306;105.0241;127.01
2017-03-20;61.7258;43.0541;135.396;82.9;87.4459;43.16;110.445;32.8644;31.2763;108.3708;126.31
2017-03-21;61.0414;42.6829;133.846;81.55;86.3477;42.64;108.775;32.5027;30.9113;104.8657;125.07
2017-03-22;61.8209;42.6353;135.358;81.88;86.7987;43.19;109.502;32.8088;31.112;107.0044;126.21
2017-03-23;61.6688;42.7876;134.879;81.52;87.1321;43.14;109.65;32.716;30.9843;106.034;126.87
2017-03-24;61.7734;42.502;134.611;81.61;87.4557;43.13;110.023;32.614;31.0938;106.4103;127.7
2017-03-27;61.8874;42.6829;134.841;81.61;87.2204;43.08;109.984;32.8273;31.0117;107.1826;128.25
2017-03-28;62.0681;42.5401;137.636;82.14;87.3871;43.15;110.504;33.0221;31.039;106.6281;128.69
2017-03-29;62.2392;42.3783;137.942;82.38;87.4459;43.24;110.102;32.9943;30.7836;106.2816;129.58
2017-03-30;62.4673;42.5306;137.76;82.56;87.2792;43.54;110.701;33.1613;30.7836;108.3213;129.61
2017-03-31;62.6099;42.4639;137.502;82.49;87.1419;43.02;110.504;33.4581;30.8383;107.8559;130.13
2017-04-03;62.3152;42.4639;137.54;82.31;87.6224;42.63;110.278;33.5416;30.6376;107.3113;129.59
2017-04-04;62.4863;42.4449;138.564;82.97;87.0537;42.72;110.131;33.6529;30.748;99.7863;130.04
2017-04-05;62.3247;42.3497;137.846;85.34;87.2988;42.89;110.328;33.5972;30.3707;99.0437;129.89
2017-04-06;62.4863;42.0546;137.502;85.0;87.3577;42.9;110.682;33.421;30.4443;99.7665;130.15
2017-04-07;62.4388;42.1593;137.196;84.38;87.0145;43.04;110.495;33.421;30.3339;99.3407;130.22
2017-04-10;62.2962;42.0637;137.033;84.24;87.1321;43.05;110.574;33.2076;30.3799;96.8059;130.16
2017-04-11;62.2487;42.2263;135.559;83.86;87.1223;42.69;110.367;33.152;30.2971;97.1525;129.95
2017-04-12;62.011;42.2358;135.722;83.37;86.9556;42.49;109.737;33.05;30.021;96.3505;129.38
2017-04-13;61.7448;42.0637;135.004;83.13;87.1419;42.55;109.491;32.6975;29.8369;94.5484;129.05
2017-04-17;62.2487;42.341;135.75;84.2;88.0637;43.1;110.919;32.9108;30.0118;98.2515;129.99
2017-04-18;62.1631;42.5608;135.147;83.71;87.9852;43.09;110.771;33.1752;30.067;98.311;129.81
2017-04-19;61.8304;42.2454;134.65;83.5;88.0048;43.3;110.545;33.3097;30.0486;98.6971;130.22
2017-04-20;62.2677;42.5704;136.334;84.05;89.3776;43.69;112.809;33.5601;30.2142;100.2615;131.42
2017-04-21;63.1233;42.4748;136.171;83.79;89.3776;43.81;112.494;33.69;30.205;100.6774;131.52
2017-04-24;64.1975;42.8668;137.483;84.17;90.064;44.27;113.902;34.0889;30.6284;101.9349;132.89
2017-04-25;64.5683;42.752;138.335;84.75;90.3189;44.71;114.325;34.2002;30.7572;103.7072;133.49
2017-04-26;64.4827;42.7234;137.521;84.95;90.0346;44.41;114.364;34.2558;30.7388;102.9943;132.79
2017-04-27;64.901;42.7998;137.626;85.85;89.8188;47.15;115.28;34.7196;31.0609;104.5983;133.38
2017-04-28;65.0816;42.9815;137.492;86.12;89.4462;47.72;114.512;33.5323;31.3554;103.2715;133.74
2017-05-01;65.9847;43.0675;140.297;86.66;89.4855;47.54;114.561;33.6807;31.2634;105.5885;135.11
2017-05-02;65.8802;43.144;141.187;87.09;90.7406;49.05;116.284;34.2929;31.5119;102.4596;135.0
2017-05-03;65.671;42.9146;140.756;86.55;90.6425;49.02;115.506;34.5569;31.5211;103.222;134.85
2017-05-04;65.4143;43.469;140.249;86.52;90.819;48.91;116.087;34.4354;31.4567;102.826;134.61
2017-05-05;65.595;43.5742;142.575;86.97;90.2993;49.3;115.674;34.4074;31.65;102.8359;134.84
2017-05-08;65.5379;43.5551;146.451;86.86;90.1326;49.17;114.797;34.1457;31.5579;101.7566;135.12
2017-05-09;65.633;43.4786;147.389;87.13;90.2111;49.22;114.6;33.9869;31.199;101.925;135.6
2017-05-10;65.8897;43.5264;146.69;87.31;90.4562;49.79;114.837;33.6505;31.0517;120.094;136.15
2017-05-11;65.0816;43.1727;147.959;87.71;90.3091;49.7;114.719;33.3514;30.9505;125.2526;136.29
2017-05-12;65.0056;43.0962;150.025;89.04;90.9269;49.37;115.309;33.2019;30.7848;126.6289;136.84
2017-05-15;65.0531;43.3256;149.641;89.8;91.4172;49.77;116.372;33.2954;31.5027;132.9856;137.6
2017-05-16;66.363;43.297;149.42;89.75;91.3387;50.34;116.648;33.4729;31.5671;135.461;138.03
2017-05-17;64.5177;42.2836;144.403;87.84;90.1354;49.05;114.984;32.744;31.1254;126.4606;134.33
2017-05-18;64.7376;42.2263;146.604;87.75;90.0863;49.11;114.433;32.9122;28.8798;131.7579;134.54
2017-05-19;64.7185;42.3601;147.104;87.4;90.8426;49.39;115.752;33.0804;28.723300000000002;134.8008;136.43
2017-05-22;65.4451;42.666;147.997;88.94;91.6579;49.77;117.15;33.4262;29.073;137.6752;138.86
2017-05-23;65.665;42.5991;147.815;88.49;92.1982;50.13;117.741;33.5103;29.2295;135.8217;139.52
2017-05-24;65.7511;42.8572;147.373;89.6;93.1314;51.05;118.824;33.7533;28.981;137.3481;141.12
2017-05-25;66.5637;43.2109;147.882;91.27;93.3573;50.93;120.025;33.8841;28.935;137.0409;142.85
2017-05-26;66.8888;43.268299999999996;147.632;90.83;92.9939;51.19;119.739;33.8841;28.9902;140.5893;141.89
2017-05-30;67.3191;43.4212;147.69;90.86;93.043;51.06;119.759;33.8093;29.1559;143.5926;142.41
2017-05-31;66.7741;43.3926;146.815;89.64;93.544;52.21;120.97;33.7439;29.0178;143.0772;141.86
2017-06-01;67.0227;43.775;147.219;90.05;93.7109;53.16;121.482;33.7533;29.2847;143.0871;141.38
2017-06-02;68.6098;43.6507;149.401;90.86;94.4477;53.52;123.254;33.9402;29.432;142.3734;143.48
2017-06-05;69.107;43.8992;147.94;91.38;94.8406;53.8;123.943;33.9588;29.2295;146.7049;143.59
2017-06-06;69.3364;43.6029;148.439;91.1;94.094;53.4;123.293;33.7626;29.0454;146.0408;143.03
2017-06-07;69.2121;43.4021;149.324;91.39;94.3887;53.85;123.244;33.8841;29.0915;147.8051;143.62
2017-06-08;68.7915;43.4212;148.958;91.25;94.3887;54.39;122.821;34.0897;29.0915;158.5297;142.63
2017-06-09;67.233;43.0484;143.182;87.27;92.8858;53.4;121.127;33.3701;28.8706;148.2809;138.05
2017-06-12;66.7167;42.8763;139.761;86.18;91.8446;52.16;118.883;33.3888;28.7601;148.6476;137.25
2017-06-13;67.5485;43.0006;140.885;87.27;93.3966;52.06;120.419;33.529;29.1743;150.065;139.09
2017-06-14;67.1852;42.8381;139.511;87.17;93.6324;51.9;120.596;33.2019;29.0822;150.3822;138.25
2017-06-15;66.8315;42.7138;138.675;86.27;92.5027;52.29;119.533;32.9963;29.0638;151.0265;137.52
2017-06-16;66.9271;43.1058;136.733;86.0;92.5027;51.84;120.064;32.9029;29.1099;150.2831;137.84
2017-06-19;67.7589;43.7176;140.645;87.54;93.1117;52.93;121.177;33.1832;29.4412;155.9328;140.35
2017-06-20;66.841;43.8228;139.367;86.92;92.709;52.52;121.019;32.5758;29.3123;155.7048;140.91
2017-06-21;67.1852;44.2912;140.193;87.56;92.8662;53.54;121.186;32.3142;29.3031;158.0638;144.24
2017-06-22;67.1756;48.0865;139.963;88.47;92.2866;53.87;121.383;32.1086;29.3123;156.9735;143.69
