Security;ORCL US Equity;MSFT US Equity;CRM US Equity;AAPL US Equity;PYPL US Equity;V US Equity;MA US Equity;INTC US Equity;CSCO US Equity;NVDA US Equity;ADBE US Equity
Field;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST
Date;;;;;;;;;;;
2016-12-30;36.4575;58.7175;68.46;110.377;39.47;76.3576;101.236;33.4051;27.3373;105.5543;102.95
2016-12-31;36.4575;58.7175;68.46;110.377;39.47;76.3576;101.236;33.4051;27.3373;105.5543;102.95
2017-01-01;36.4575;58.7175;68.46;110.377;39.47;76.3576;101.236;33.4051;27.3373;105.5543;102.95
2017-01-02;36.4575;58.7175;68.46;110.377;39.47;76.3576;101.236;33.4051;27.3373;105.5543;102.95
2017-01-03;36.6955;59.1333;70.54;110.691;40.25;77.806;103.334;33.7091;27.6268;100.8768;103.48
2017-01-04;36.8763;58.8687;72.8;110.567;41.0;78.4422;104.314;33.5341;27.4625;103.2304;104.14
2017-01-05;36.7811;58.8687;72.79;111.13;41.06;79.3622;105.12;33.4788;27.5264;100.6098;105.91
2017-01-06;36.6003;59.379;73.8;112.368;41.45;80.4583;105.877;33.5985;27.5811;101.9547;108.3
2017-01-07;36.6003;59.379;73.8;112.368;41.45;80.4583;105.877;33.5985;27.5811;101.9547;108.3
2017-01-08;36.6003;59.379;73.8;112.368;41.45;80.4583;105.877;33.5985;27.5811;101.9547;108.3
2017-01-09;37.1524;59.19;73.96;113.398;41.4;80.0081;105.67;33.7183;27.5355;106.0883;108.57
2017-01-10;36.8002;59.1711;73.98;113.512;41.08;79.5775;105.444;33.6538;27.718;105.2873;108.26
2017-01-11;37.2285;59.7097;75.77;114.122;41.28;80.057;105.926;34.0314;27.5081;103.9918;108.99
2017-01-12;37.3142;59.1616;75.21;113.645;41.56;79.6362;106.81;33.8104;27.4078;102.2909;108.59
2017-01-13;37.3713;59.2467;75.64;113.445;41.6;79.4404;106.8;33.8841;27.4352;102.281;108.53
2017-01-14;37.3713;59.2467;75.64;113.445;41.6;79.4404;106.8;33.8841;27.4352;102.281;108.53
2017-01-15;37.3713;59.2467;75.64;113.445;41.6;79.4404;106.8;33.8841;27.4352;102.281;108.53
2017-01-16;37.3713;59.2467;75.64;113.445;41.6;79.4404;106.8;33.8841;27.4352;102.281;108.53
2017-01-17;37.219;59.086;75.02;114.36;41.27;79.5285;106.506;33.893299999999996;27.3622;99.9868;108.0
2017-01-18;37.3047;59.0577;75.78;114.351;41.35;79.8515;106.761;33.8564;27.3987;101.8064;108.79
2017-01-19;37.3237;58.8687;75.57;114.151;41.27;79.9885;106.633;33.6814;27.353;103.9918;109.79
2017-01-20;37.952;59.2845;76.03;114.36;41.69;80.0962;108.038;34.0222;27.4625;102.8546;110.71
2017-01-21;37.952;59.2845;76.03;114.36;41.69;80.0962;108.038;34.0222;27.4625;102.8546;110.71
2017-01-22;37.952;59.2845;76.03;114.36;41.69;80.0962;108.038;34.0222;27.4625;102.8546;110.71
2017-01-23;37.7711;59.4924;76.16;114.436;41.62;80.3996;107.714;33.8656;27.6176;103.9226;110.97
2017-01-24;38.1709;60.0215;77.11;114.332;41.96;81.4566;107.999;34.6485;27.9187;106.1377;113.72
2017-01-25;38.2185;60.1727;78.47;116.152;41.71;82.1123;108.264;34.8143;28.01;106.5926;114.25
2017-01-26;38.1995;60.730199999999996;77.95;116.209;41.5;81.4663;107.468;34.5932;28.0464;108.4319;112.88
2017-01-27;38.2946;62.157;78.21;116.219;40.27;81.985;107.92;34.9801;28.2654;110.5284;113.99
2017-01-28;38.2946;62.157;78.21;116.219;40.27;81.985;107.92;34.9801;28.2654;110.5284;113.99
2017-01-29;38.2946;62.157;78.21;116.219;40.27;81.985;107.92;34.9801;28.2654;110.5284;113.99
2017-01-30;38.2946;61.5428;78.71;115.914;39.86;81.9165;107.39;34.4643;28.1286;108.7978;113.82
2017-01-31;38.1804;61.0893;79.1;115.647;39.78;80.9476;104.472;33.9117;28.0282;107.9672;113.38
2017-02-01;37.9234;60.0782;78.58;122.699;39.31;80.6834;103.165;33.6354;27.8275;112.6842;113.36
2017-02-02;38.0567;59.6908;80.13;122.489;39.58;80.5464;103.302;33.7827;28.4479;114.1082;113.16
2017-02-03;38.485;60.1727;80.21;123.013;39.59;84.2458;104.717;33.8755;28.5756;113.1094;115.17
2017-02-04;38.485;60.1727;80.21;123.013;39.59;84.2458;104.717;33.8755;28.5756;113.1094;115.17
2017-02-05;38.485;60.1727;80.21;123.013;39.59;84.2458;104.717;33.8755;28.5756;113.1094;115.17
2017-02-06;38.1709;60.1349;79.75;124.167;39.74;84.0012;104.727;33.6436;28.5574;116.0069;114.46
2017-02-07;38.1423;59.9365;80.21;125.348;40.02;83.9522;104.737;33.7178;28.6942;117.8066;114.96
2017-02-08;38.0947;59.8514;80.7;125.834;40.88;83.2769;104.855;33.7456;28.53;117.2924;116.13
2017-02-09;38.2946;60.5318;81.03;126.744;40.83;83.7565;105.425;32.8923;28.7399;115.0872;116.44
2017-02-10;38.8277;60.4751;80.64;126.457;40.58;84.0697;105.395;32.781;28.749;112.3578;116.85
2017-02-11;38.8277;60.4751;80.64;126.457;40.58;84.0697;105.395;32.781;28.749;112.3578;116.85
2017-02-12;38.8277;60.4751;80.64;126.457;40.58;84.0697;105.395;32.781;28.749;112.3578;116.85
2017-02-13;39.1133;61.1554;80.91;127.576;41.17;84.5982;106.388;33.2076;29.1687;107.1761;117.65
2017-02-14;39.1228;61.3836;80.92;129.232;41.62;84.9994;106.977;33.3282;29.4789;107.5716;117.58
2017-02-15;39.4179;61.3456;81.67;129.701;41.87;85.8378;107.744;33.4395;29.9442;107.7892;118.73
2017-02-16;39.5892;61.3361;80.82;129.543;42.15;85.7103;107.39;33.7735;30.6558;106.0586;118.93
2017-02-17;40.0366;61.4311;81.47;129.902;41.96;85.7593;107.508;33.8384;30.7836;106.0388;119.67
2017-02-18;40.0366;61.4311;81.47;129.902;41.96;85.7593;107.508;33.8384;30.7836;106.0388;119.67
2017-02-19;40.0366;61.4311;81.47;129.902;41.96;85.7593;107.508;33.8384;30.7836;106.0388;119.67
2017-02-20;40.0366;61.4311;81.47;129.902;41.96;85.7593;107.508;33.8384;30.7836;106.0388;119.67
2017-02-21;40.2365;61.3075;82.18;130.84;42.43;86.2104;108.235;33.8755;31.1394;109.8362;119.63
2017-02-22;40.465;61.1839;82.08;131.233;42.42;86.0927;107.527;33.4581;31.1029;109.6679;119.47
2017-02-23;40.893299999999996;61.4311;82.07;130.677;42.53;86.4653;108.805;33.5601;31.0573;99.4991;118.83
2017-02-24;41.0932;61.4311;81.78;130.802;43.07;86.7105;109.06;33.8848;31.3128;100.4596;119.31
2017-02-25;41.0932;61.4311;81.78;130.802;43.07;86.7105;109.06;33.8848;31.3128;100.4596;119.31
2017-02-26;41.0932;61.4311;81.78;130.802;43.07;86.7105;109.06;33.8848;31.3128;100.4596;119.31
2017-02-27;40.6458;61.0604;81.54;131.06;42.64;86.2888;108.638;33.8662;31.258;103.3805;118.78
2017-02-28;40.5411;60.8227;81.35;131.118;42.0;86.23;108.53;33.5787;31.185;100.4794;118.34
2017-03-01;40.855199999999996;61.7353;83.81;133.798;42.43;87.2596;110.347;33.3282;31.4222;101.7764;120.35
2017-03-02;40.8267;60.8512;82.67;133.003;42.77;86.8085;109.384;33.3097;31.3766;98.0238;119.9
2017-03-03;40.6363;61.0794;82.22;133.788;43.03;87.0635;109.787;33.3004;31.2854;97.4594;120.04
2017-03-04;40.6363;61.0794;82.22;133.788;43.03;87.0635;109.787;33.3004;31.2854;97.4594;120.04
2017-03-05;40.6363;61.0794;82.22;133.788;43.03;87.0635;109.787;33.3004;31.2854;97.4594;120.04
2017-03-06;40.5221;61.0984;82.5;133.367;42.87;87.2106;109.414;32.9943;31.1941;96.7069;120.15
2017-03-07;40.5506;61.222;82.97;133.539;42.89;87.3282;109.021;33.2076;31.2033;97.7664;119.98
2017-03-08;40.5602;61.7829;83.48;133.042;42.79;87.2302;109.04;33.0407;31.039;97.5881;119.6
2017-03-09;40.3983;61.5357;83.28;132.735;42.92;87.3773;108.854;33.2262;31.0847;97.5683;119.91
2017-03-10;40.6268;61.7258;83.51;133.176;42.99;87.9852;109.266;33.3097;31.258;98.1426;121.09
2017-03-11;40.6268;61.7258;83.51;133.176;42.99;87.9852;109.266;33.3097;31.258;98.1426;121.09
2017-03-12;40.6268;61.7258;83.51;133.176;42.99;87.9852;109.266;33.3097;31.258;98.1426;121.09
2017-03-13;40.5316;61.5167;83.61;133.233;42.59;88.3578;109.581;32.614;31.112;100.8457;121.8
2017-03-14;40.7315;61.2315;83.51;133.032;42.1;87.8087;108.559;32.6325;31.1303;100.7764;121.44
2017-03-15;40.979;61.5547;83.48;134.439;42.39;88.1715;110.062;32.5583;31.2398;101.5388;122.11
2017-03-16;43.5301;61.4501;83.52;134.659;42.4;88.2892;110.701;32.5954;31.2306;102.7864;122.35
2017-03-17;43.4634;61.6688;83.03;133.989;43.08;88.4853;110.858;32.716;31.2306;105.0241;127.01
2017-03-18;43.4634;61.6688;83.03;133.989;43.08;88.4853;110.858;32.716;31.2306;105.0241;127.01
2017-03-19;43.4634;61.6688;83.03;133.989;43.08;88.4853;110.858;32.716;31.2306;105.0241;127.01
2017-03-20;43.0541;61.7258;82.9;135.396;43.16;87.4459;110.445;32.8644;31.2763;108.3708;126.31
2017-03-21;42.6829;61.0414;81.55;133.846;42.64;86.3477;108.775;32.5027;30.9113;104.8657;125.07
2017-03-22;42.6353;61.8209;81.88;135.358;43.19;86.7987;109.502;32.8088;31.112;107.0044;126.21
2017-03-23;42.7876;61.6688;81.52;134.879;43.14;87.1321;109.65;32.716;30.9843;106.034;126.87
2017-03-24;42.502;61.7734;81.61;134.611;43.13;87.4557;110.023;32.614;31.0938;106.4103;127.7
2017-03-25;42.502;61.7734;81.61;134.611;43.13;87.4557;110.023;32.614;31.0938;106.4103;127.7
2017-03-26;42.502;61.7734;81.61;134.611;43.13;87.4557;110.023;32.614;31.0938;106.4103;127.7
2017-03-27;42.6829;61.8874;81.61;134.841;43.08;87.2204;109.984;32.8273;31.0117;107.1826;128.25
2017-03-28;42.5401;62.0681;82.14;137.636;43.15;87.3871;110.504;33.0221;31.039;106.6281;128.69
2017-03-29;42.3783;62.2392;82.38;137.942;43.24;87.4459;110.102;32.9943;30.7836;106.2816;129.58
2017-03-30;42.5306;62.4673;82.56;137.76;43.54;87.2792;110.701;33.1613;30.7836;108.3213;129.61
2017-03-31;42.4639;62.6099;82.49;137.502;43.02;87.1419;110.504;33.4581;30.8383;107.8559;130.13
2017-04-01;42.4639;62.6099;82.49;137.502;43.02;87.1419;110.504;33.4581;30.8383;107.8559;130.13
2017-04-02;42.4639;62.6099;82.49;137.502;43.02;87.1419;110.504;33.4581;30.8383;107.8559;130.13
2017-04-03;42.4639;62.3152;82.31;137.54;42.63;87.6224;110.278;33.5416;30.6376;107.3113;129.59
2017-04-04;42.4449;62.4863;82.97;138.564;42.72;87.0537;110.131;33.6529;30.748;99.7863;130.04
2017-04-05;42.3497;62.3247;85.34;137.846;42.89;87.2988;110.328;33.5972;30.3707;99.0437;129.89
2017-04-06;42.0546;62.4863;85.0;137.502;42.9;87.3577;110.682;33.421;30.4443;99.7665;130.15
2017-04-07;42.1593;62.4388;84.38;137.196;43.04;87.0145;110.495;33.421;30.3339;99.3407;130.22
2017-04-08;42.1593;62.4388;84.38;137.196;43.04;87.0145;110.495;33.421;30.3339;99.3407;130.22
2017-04-09;42.1593;62.4388;84.38;137.196;43.04;87.0145;110.495;33.421;30.3339;99.3407;130.22
2017-04-10;42.0637;62.2962;84.24;137.033;43.05;87.1321;110.574;33.2076;30.3799;96.8059;130.16
2017-04-11;42.2263;62.2487;83.86;135.559;42.69;87.1223;110.367;33.152;30.2971;97.1525;129.95
2017-04-12;42.2358;62.011;83.37;135.722;42.49;86.9556;109.737;33.05;30.021;96.3505;129.38
2017-04-13;42.0637;61.7448;83.13;135.004;42.55;87.1419;109.491;32.6975;29.8369;94.5484;129.05
2017-04-14;42.0637;61.7448;83.13;135.004;42.55;87.1419;109.491;32.6975;29.8369;94.5484;129.05
2017-04-15;42.0637;61.7448;83.13;135.004;42.55;87.1419;109.491;32.6975;29.8369;94.5484;129.05
2017-04-16;42.0637;61.7448;83.13;135.004;42.55;87.1419;109.491;32.6975;29.8369;94.5484;129.05
2017-04-17;42.341;62.2487;84.2;135.75;43.1;88.0637;110.919;32.9108;30.0118;98.2515;129.99
2017-04-18;42.5608;62.1631;83.71;135.147;43.09;87.9852;110.771;33.1752;30.067;98.311;129.81
2017-04-19;42.2454;61.8304;83.5;134.65;43.3;88.0048;110.545;33.3097;30.0486;98.6971;130.22
2017-04-20;42.5704;62.2677;84.05;136.334;43.69;89.3776;112.809;33.5601;30.2142;100.2615;131.42
2017-04-21;42.4748;63.1233;83.79;136.171;43.81;89.3776;112.494;33.69;30.205;100.6774;131.52
2017-04-22;42.4748;63.1233;83.79;136.171;43.81;89.3776;112.494;33.69;30.205;100.6774;131.52
2017-04-23;42.4748;63.1233;83.79;136.171;43.81;89.3776;112.494;33.69;30.205;100.6774;131.52
2017-04-24;42.8668;64.1975;84.17;137.483;44.27;90.064;113.902;34.0889;30.6284;101.9349;132.89
2017-04-25;42.752;64.5683;84.75;138.335;44.71;90.3189;114.325;34.2002;30.7572;103.7072;133.49
2017-04-26;42.7234;64.4827;84.95;137.521;44.41;90.0346;114.364;34.2558;30.7388;102.9943;132.79
2017-04-27;42.7998;64.901;85.85;137.626;47.15;89.8188;115.28;34.7196;31.0609;104.5983;133.38
2017-04-28;42.9815;65.0816;86.12;137.492;47.72;89.4462;114.512;33.5323;31.3554;103.2715;133.74
2017-04-29;42.9815;65.0816;86.12;137.492;47.72;89.4462;114.512;33.5323;31.3554;103.2715;133.74
